"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Infant Birth Weight 12"	"Infant Birth Weight 12 Code"	Births
	"Alaska"	"02"	"2019"	"2019"	"June"	"6"	"4000 - 4499 grams"	"09"	85
	"Alaska"	"02"	"2019"	"2019"	"June"	"6"	"4500 - 4999 grams"	"10"	23
	"Alaska"	"02"	"2019"	"2019"	"July"	"7"	"1500 - 1999 grams"	"04"	16
	"Alaska"	"02"	"2019"	"2019"	"July"	"7"	"2000 - 2499 grams"	"05"	29
	"Alaska"	"02"	"2019"	"2019"	"July"	"7"	"2500 - 2999 grams"	"06"	131
	"Alaska"	"02"	"2019"	"2019"	"July"	"7"	"3000 - 3499 grams"	"07"	326
	"Alaska"	"02"	"2019"	"2019"	"July"	"7"	"3500 - 3999 grams"	"08"	278
	"Alaska"	"02"	"2019"	"2019"	"July"	"7"	"4000 - 4499 grams"	"09"	104
	"Alaska"	"02"	"2019"	"2019"	"July"	"7"	"4500 - 4999 grams"	"10"	23
	"Alaska"	"02"	"2019"	"2019"	"August"	"8"	"1500 - 1999 grams"	"04"	11
	"Alaska"	"02"	"2019"	"2019"	"August"	"8"	"2000 - 2499 grams"	"05"	34
	"Alaska"	"02"	"2019"	"2019"	"August"	"8"	"2500 - 2999 grams"	"06"	124
	"Alaska"	"02"	"2019"	"2019"	"August"	"8"	"3000 - 3499 grams"	"07"	314
	"Alaska"	"02"	"2019"	"2019"	"August"	"8"	"3500 - 3999 grams"	"08"	243
	"Alaska"	"02"	"2019"	"2019"	"August"	"8"	"4000 - 4499 grams"	"09"	94
	"Alaska"	"02"	"2019"	"2019"	"August"	"8"	"4500 - 4999 grams"	"10"	20
	"Alaska"	"02"	"2019"	"2019"	"September"	"9"	"2000 - 2499 grams"	"05"	35
	"Alaska"	"02"	"2019"	"2019"	"September"	"9"	"2500 - 2999 grams"	"06"	119
	"Alaska"	"02"	"2019"	"2019"	"September"	"9"	"3000 - 3499 grams"	"07"	314
	"Alaska"	"02"	"2019"	"2019"	"September"	"9"	"3500 - 3999 grams"	"08"	272
	"Alaska"	"02"	"2019"	"2019"	"September"	"9"	"4000 - 4499 grams"	"09"	93
	"Alaska"	"02"	"2019"	"2019"	"September"	"9"	"4500 - 4999 grams"	"10"	18
	"Alaska"	"02"	"2019"	"2019"	"October"	"10"	"2000 - 2499 grams"	"05"	34
	"Alaska"	"02"	"2019"	"2019"	"October"	"10"	"2500 - 2999 grams"	"06"	129
